Carrier	VAT	Format	Checksum	Registered	Name	Address	Country
LKW Walter International AG	ATU19208701	Valid	Pass	Yes	LKW WALTER Internationale Transportorganisation AG	IZ Noe Sued Str 14, AT-2355 Wiener Neudorf	AT
dls Land u. See Speditionsges. mbH	DE811252507	Valid	Pass	Yes	N/A	N/A	DE
T.E.L.S. Transeuropean Logistic Services Ltd. (TELS)	GB4303303	Invalid					
AGROMEX Wojciech i Jacek Fraszka sp. j.	PL8310003586	Valid	Pass	Yes	AGROMEX WOJCIECH I JACEK FRASZKA SPÓŁKA JAWNA	MARZENIN , PL. RÓŻANY 3, 98-160 SĘDZIEJOWICE	PL
2XL Nv	BE449424358	Invalid					
MIRATRANS TRANSPORT SP. Z O.O.	PL7322182068	Valid	Pass	Yes	MIRATRANS TRANSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SIERPÓW 33, 95-035 OZORKÓW	PL
Link Sp. z o.o.	PL5210086737	Valid	Pass	Yes	'LINK' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	NADRZECZNA 17, 05-462 WIĄZOWNA	PL
ROHLIG SUUS Logistics S.A.	PL1230993241	Valid	Pass	Yes	'ROHLIG SUUS LOGISTICS SPÓŁKA AKCYJNA'	RÓWNOLEGŁA 4A, 02-235 WARSZAWA	PL
Pekaes Sp z. o.o.	PL5270104717	Valid	Pass	Yes	GEODIS ROAD NETWORK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SPEDYCYJNA 1, 05-870 BŁONIE	PL
IMPERIAL Logistics & Services GmbH	DE811168499	Valid	Pass	Yes	N/A	N/A	DE
ARCESE TRASPORTI S.P.A.	IT122680226	Invalid					
ECS European Containers NV	BE0435131508	Valid	Pass	Yes	NV ECS EUROPEAN CONTAINERS	Baron de Maerelaan 155, 8380 Brugge	BE
Waberer's International Zrt.	HU17781578	Valid	Pass	Yes	Áfa csoport / VAT Group (Az áfa csoport tagjai lekérdezhetőek: / Members of the VAT group can be checked on: https://nav.gov.hu/adatbazisok/adatbleker/csoportos_afaalanyok)	NAGYKOROSI ÚT 351 1239 BUDAPEST	HU
SKAT TRANSPORT SP. Z O.O. SP. K.	PL5851356886	Valid	Pass	Yes	SKAT TRANSPORT PROSTA SPÓŁKA AKCYJNA	JULIUSZA SŁOWACKIEGO 199, 80-298 GDAŃSK	PL
P.H.U.S EXPORT-IMPORT "TRANSPIL-SPEDITION"	PL7670003116	Valid	Pass	Yes	WALDEMAR BOCHEŃSKI	SKÓRKA , BRZOZOWA 2, 77-430 KRAJENKA	PL
MAGTRANS Sp. z o. o.	PL6551430917	Valid	Pass	Yes	'MAGTRANS' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	BOHATERÓW WARSZAWY 116, 28-100 BUSKO-ZDRÓJ	PL
CH Robinson FR-Caen	FR43322939265	Valid	Pass				
REGESTA S.A.	PL6621004747	Valid	Pass	Yes	REGESTA SPÓŁKA AKCYJNA	NOWOWIEJSKA 52A, 28-400 PIŃCZÓW	PL
Gopet Trans EOOD	BG831689341	Valid	Pass	Yes	ГОПЕТ ТРАНС - ЕООД	ул. Вега  №7 обл.СОФИЯ, с.КАЗИЧЕНЕ 1532	BG
Raben Trans European Germany GmbH	DE200207156	Valid	Pass	No			
FIRMA TRANSPORTOWO SPEDYCYJNO HANDLOWA MIELCZAREK ANDRZEJ	PL8290001407	Valid	Pass	Yes	ANDRZEJ MIELCZAREK	WILCZA 25, 98-220 ZDUŃSKA WOLA	PL
DELAMODE ROMANIA	RO6322498	Valid	Pass	Yes	DELAMODE ROMANIA SRL	MUNICIPIUL  BUCUREŞTI, SECTOR 6 00000 BLD. TIMIŞOARA Nr. 4A Et. 1	RO
CAT LC Portugal	PT506906612	Valid	Pass	Yes	CAT LC AFRETAMENTOS E LOGISTICA CARGO UNIPESSOAL LDA	URBANIZAÇÃO DO PASSIL LOTE 93 A RUA DO VALE DA MAÇAROCA N 34, 7, ALCOCHETE, 2890-182 ALCOCHETE	PT
CONEXTRANS  I.F.F.  S.A.  (A.G.)	EL095349047	Valid	Pass	Yes	CONEXTRANS ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΔΙΕΘΝΩΝ ΚΑΙ ΕΘΝΙΚΩΝ ΜΕΤΑΦΟΡΩΝ||CONEXTRANS ΑΕ	ΘΕΡΜΗ ΑΡΙΘΝΟΣ  ΑΓΡΟΤΕΜ 51 0         57001 - ΘΕΡΜΗ	EL
Transport H. Essers & Zonen Nv	BE0401296720	Valid	Pass	Yes	NV HENRI ESSERS EN ZONEN INTERNATIONAAL TRANSPORT	Transportlaan 4, 3600 Genk	BE
Gartner Intertrans Hungária Kft.	HU10457812	Valid	Pass	Yes	GARTNER INTERTRANS HUNGÁRIA NEMZETKÖZI FUV.,SZÁLLITMÁNYOZÁSI KFT.	SPEDITOR UTCA 1. 8900 ZALAEGERSZEG	HU
DARTOM SP. Z O.O.	PL8380000966	Valid	Pass	Yes	DARTOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	BAŁTYCKA 50, 05-825 GRODZISK MAZOWIECKI	PL
HEMMERLIN SA	FR11399514611	Valid	Pass	Yes	SAS HEMMERLIN	12 RUE DES CEVENNES, 68390 SAUSHEIM	FR
FM Polska Sp. z o. o.	PL8381000827	Valid	Pass	Yes	FM POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	TARCZYŃSKA 111A, 96-320 MSZCZONÓW	PL
Girteka Logistics Ltd	LT100005407518	Valid	Pass	Yes	EVERWEST UAB	Laisvės pr. 36, Vilniaus m., Vilniaus m. sav.	LT
CONTAINERSHIPS PLC	FI08183585	Valid	Pass	No			
EST Contracts BV - Budapest branch	NL811514274	Invalid					
EST Poland sp. z o.o. - branch 1	NL811514274B01	Valid	Fail				
A. T. TROTA, S.A.	ESA25038142	Valid	Pass	Yes	N/A	N/A	ES
Luís Simões Logística Integrada, S.A.	PT500289050	Valid	Pass	Yes	LUÍS SIMÕES LOGÍSTICA INTEGRADA, S.A.	MONINHOS, LOURES, 2670-501 LOURES	PT
transportes J. CARRION	ESA04014635	Valid	Pass	Yes	N/A	N/A	ES
GEFCO Deutschland GmbH	DE811122082	Valid	Pass	Yes	N/A	N/A	DE
ERONTRANS SP. Z O. O.	PL5890011743	Valid	Pass	Yes	ERONTRANS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	GRUNWALDZKA 64B, 83-000 PRUSZCZ GDAŃSKI	PL
MÜLLER TRANSPORTE GmbH	ATU19432905	Valid	Pass	Yes	Müller BeteiligungsverwaltungsGmbH	Palmersstraße 10, AT-2351 Wiener Neudorf	AT
ITF Polska Sp. z o.o.	PL1181733941	Valid	Pass	No			
