TRANSPOREON ID,Carrier,OriginalVAT,VAT,VatSource,Country,Registered,RegisteredName,RegisteredAddress,StoredAddress,NameMatch,AddressMatch,Confidence,Notes
242534,Unifeeder A/S,DK0000000000,DK11810543,discovered,DK,Yes,UNIFEEDER A/S,"Tangen 6, 8200 Aarhus N","Hveensgade 1, 8000, Aarhus",Match,Partial,Likely correct,No VAT: placeholder; Web: proff.dk. CVR 11810543 confirmed at Aarhus
200003,LKW Walter International AG,ATU19208701,ATU19208701,original,AT,Yes,LKW WALTER Internationale Transportorganisation AG,"IZ Noe Sued Str 14, AT-2355 Wiener Neudorf","IZ NÖ SÜD STR. 14, 2355, Wiener Neudorf",Match,Match,Confirmed,
239840,Orkun Uluslararasi Nakliyat Ihracat ve Ticaret Limited Sirketi,,,original,TR,,,,"Ulus Mahallesi Kültür Caddesi No: 125, HURRIYET MAHALLESI CATALCA YOLU CAD 464, 34537, ISTANBUL",N/A,N/A,Non-EU,No VAT: missing; company located via und.org.tr and northdata but no TR vergi numarası disclosed publicly
221276,dls Land u. See Speditionsges. mbH,DE 811 252 507,DE811252507,original,DE,Yes,N/A,N/A,"Jacobsrade 1, 22962, Siek",N/A,N/A,Confirmed,
222443,Tricolore Transport & Logistics,DK0000000000,DK33374283,discovered,DK,No,TRICOLORE TRANSPORT & LOGISTICS A/S,"Thorsvej 8, 6330 Padborg, Denmark","Thorsvej 8, 6330, Padborg",Match,N/A,Unresolved,No VAT: placeholder; Web: proff.dk / northdata. CVR 33374283 matches name and Padborg address exactly; API Pass 2: not registered
229603,T.E.L.S. Transeuropean Logistic Services Ltd. (TELS),4303303,GB989803158,discovered,GB,Yes,TELS GLOBAL UK LIMITED,"PROSPECT HOUSE, SUITE 22, 2 ATHENAEUM ROAD, WHETSTONE, LONDON, N20 9AE, GB","Suite 4, 11 Rosemont Road, Hampstead, NW3 6NG, London",Partial,Partial,Likely correct,"Web: Companies House / vat-lookup.co.uk. company renamed to TELS GLOBAL UK LIMITED in 2024; stored VAT GB4303303 is the company number, not a valid VAT; TELS → TELS GLOBAL UK LIMITED (company renamed in 2024; same abbreviation retained)"
339973,TRANSALLIANCE Group,FR0000000000,FR90399763507,discovered,FR,Yes,SNC TRANSALLIANCE SERVICE,"5 B RUE SAINT LEON, 54000 NANCY","5 bis rue Saint Léon, 54000, NANCY",Partial,Match,Likely correct,No VAT: placeholder; Web: societe.com / manageo.fr. matched by Nancy address; Transalliance Group → SNC TRANSALLIANCE SERVICE (group brand vs specific subsidiary at same Nancy address)
230387,ATL CZ s.r.o.,,CZ26006910,discovered,CZ,Yes,"ATL CZ, s.r.o.","Pražská třída 320/8, KUKLENY, 500 04  HRADEC KRÁLOVÉ 4","Kladska 916, 500 03, Hradec Kralove",Match,Partial,Likely correct,No VAT: missing; Web: ARES / kurzy.cz. registered office is Pražská třída 320/8 Hradec Králové; stored address Kladska 916 differs slightly but same entity
227867,GEFCO Polska Sp. z o.o.,,PL5252109503,discovered,PL,Yes,CEVA GROUND LOGISTICS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"POLECZKI 33, 02-822 WARSZAWA","pl.Bankowy 2, 00-095, Warszawa",Partial,Partial,Likely correct,"No VAT: missing; Web: KRS / krs-online.com.pl. KRS 0000064862; GEFCO Polska → CEVA GROUND LOGISTICS POLAND (GEFCO acquired by CMA CGM 2022, rebranded to CEVA)"
227301,AGROMEX Wojciech i Jacek Fraszka sp. j.,PL8310003586,PL8310003586,original,PL,Yes,AGROMEX WOJCIECH I JACEK FRASZKA SPÓŁKA JAWNA,"MARZENIN , PL. RÓŻANY 3, 98-160 SĘDZIEJOWICE","Marzenin, Plac Rozany 3, 98160, Sedziejowice",Match,Match,Confirmed,
228425,2XL Nv,BE449424358,BE0449424358,discovered,BE,Yes,NV 2XL,"Baron de Maerelaan 155, 8380 Brugge","Baron de Maerelaan 155, 8380, Zeebrugge",Match,Match,Likely correct,Web: companyweb.be / staatsbladmonitor.be. stored VAT BE449424358 was missing the leading 0
227389,MIRATRANS TRANSPORT SP. Z O.O.,PL7322182068,PL7322182068,original,PL,Yes,MIRATRANS TRANSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"SIERPÓW 33, 95-035 OZORKÓW","Sierpów 33, 95-035, Ozorków",Match,Match,Confirmed,
227348,Link Sp. z o.o.,PL5210086737,PL5210086737,original,PL,Yes,'LINK' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"NADRZECZNA 17, 05-462 WIĄZOWNA","Nadrzeczna 17, 5462, Wiazowna",Match,Match,Confirmed,
229892,ROHLIG SUUS Logistics S.A.,1230993241,PL1230993241,original,PL,Yes,'ROHLIG SUUS LOGISTICS SPÓŁKA AKCYJNA',"RÓWNOLEGŁA 4A, 02-235 WARSZAWA","ul. Równoległa 4A, 02-235, Warszawa",Match,Match,Confirmed,
239839,XPO LOGISTICS (NORBERT DENTRESSANGLE) UNITED KINGDOM,UK0000000000,GB581379120,discovered,GB,Yes,XPO HOLDINGS UK AND IRELAND LIMITED,"DISTRIBUTION HOUSE ELDON WA, CRICK, NORTHAMPTON, NORTHAMPTONSHIRE, NN6 7SL, GB","Greenfold Way, Leigh Commerce Park, WN7 3XJ, Leigh",Partial,Mismatch,Likely correct,"No VAT: placeholder; Web: vat-lookup.co.uk. VAT belongs to XPO Holdings UK and Ireland Limited (UK group); Leigh site operated by Norbert Dentressangle UK Ltd, now part of XPO; XPO Logistics (Norbert Dentressangle) UK → XPO HOLDINGS UK AND IRELAND LIMITED (group/holding VAT; Leigh operating site belongs to acquired Norbert Dentressangle entity)"
230536,Pekaes Sp z. o.o.,PL5270104717,PL5270104717,original,PL,Yes,GEODIS ROAD NETWORK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"SPEDYCYJNA 1, 05-870 BŁONIE","ul. Spedycyjna 1, 05-870, Błonie",Partial,Match,Confirmed,Pekaes Sp. z o.o. → GEODIS ROAD NETWORK SP. Z O.O. (Pekaes rebranded to Geodis after acquisition)
224437,IMPERIAL Logistics & Services GmbH,DE 811 168499,DE811168499,original,DE,Yes,N/A,N/A,"Schifferstr. 26, 47059, Duisburg",N/A,N/A,Confirmed,
233644,pfenning logistics,,DE206997505,discovered,DE,Yes,N/A,N/A,"Daimlerstraße 4, 68542, Heddesheim",N/A,N/A,To be verified,"No VAT: missing; Web: pfenning-logistics.com Impressum. legal entity is KMP Holding GmbH, HRB 716596 Mannheim"
