Reckitt to check	TRANSPOREON ID	Ticontract ID	Name	CreditorNumber_BillingDetail	VAT	CountryId	Street_1	Street_2	Zip	Location	CarrierStatus
VAT Nr missing	242534	100298	Unifeeder A/S	242534	DK0000000000	DK	Hveensgade 1	NULL	8000	Aarhus	active
	200003	100329	LKW Walter International AG	200003	ATU19208701	AT	IZ NÖ SÜD STR. 14	NULL	2355	Wiener Neudorf	active
	239840	100559	Orkun Uluslararasi Nakliyat Ihracat ve Ticaret Limited Sirketi	239840	NULL	TR	Ulus Mahallesi Kültür Caddesi No: 125	HURRIYET MAHALLESI CATALCA YOLU CAD 464	34537	ISTANBUL	active
	221276	100759	dls Land u. See Speditionsges. mbH	221276	DE 811 252 507	DE	Jacobsrade 1	NULL	22962	Siek	active
VAT Nr missing	222443	100908	Tricolore Transport & Logistics	222443	DK0000000000	DK	Thorsvej 8	NULL	6330	Padborg	active
VAT Nr wrong	229603	100931	T.E.L.S. Transeuropean Logistic Services Ltd. (TELS)	229603	4303303	GB	Suite 4, 11 Rosemont Road, Hampstead	NULL	NW3 6NG	London	active
VAT Nr missing	339973	100935	TRANSALLIANCE Group	238328	FR0000000000	FR	5 bis rue Saint Léon	NULL	54000	NANCY	active
VAT Nr missing	230387	100953	ATL CZ s.r.o.	ATL	NULL	CZ	Kladska 916	NULL	500 03	Hradec Kralove	active
VAT Nr missing	227867	101012	GEFCO Polska Sp. z o.o.	227867	NULL	PL	pl.Bankowy 2	NULL	00-095	Warszawa	active
	227301	101025	AGROMEX Wojciech i Jacek Fraszka sp. j.	227301	PL8310003586	PL	Marzenin, Plac Rozany 3	NULL	98160	Sedziejowice	active
	228425	101029	2XL Nv	228425	BE449424358	BE	Baron de Maerelaan 155	NULL	8380	Zeebrugge	active
	227389	101091	MIRATRANS TRANSPORT SP. Z O.O.	227389	PL7322182068	PL	Sierpów 33	NULL	95-035	Ozorków	active
	227348	101102	Link Sp. z o.o.	227348	PL5210086737	PL	Nadrzeczna 17	NULL	5462	Wiazowna	active
