Carrier	VAT	Format	Checksum	Registered	Name	Address	Country
Unifeeder A/S	DK11810543	Valid	Pass	Yes	UNIFEEDER A/S	Tangen 6, 8200 Aarhus N	DK
LKW Walter International AG	ATU19208701	Valid	Pass	Yes	LKW WALTER Internationale Transportorganisation AG	IZ Noe Sued Str 14, AT-2355 Wiener Neudorf	AT
dls Land u. See Speditionsges. mbH	DE811252507	Valid	Pass	Yes	N/A	N/A	DE
Tricolore Transport & Logistics	DK33374283	Valid	Pass	No			
T.E.L.S. Transeuropean Logistic Services Ltd. (TELS)	GB4303303	Invalid					
TRANSALLIANCE Group	FR66662013960	Valid	Pass				
ATL CZ s.r.o.	CZ26006910	Valid	Pass				
GEFCO Polska Sp. z o.o.	PL5252109503	Valid	Pass	Yes	CEVA GROUND LOGISTICS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	POLECZKI 33, 02-822 WARSZAWA	PL
AGROMEX Wojciech i Jacek Fraszka sp. j.	PL8310003586	Valid	Pass	Yes	AGROMEX WOJCIECH I JACEK FRASZKA SPÓŁKA JAWNA	MARZENIN , PL. RÓŻANY 3, 98-160 SĘDZIEJOWICE	PL
2XL Nv	BE449424358	Invalid					
MIRATRANS TRANSPORT SP. Z O.O.	PL7322182068	Valid	Pass	Yes	MIRATRANS TRANSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SIERPÓW 33, 95-035 OZORKÓW	PL
Link Sp. z o.o.	PL5210086737	Valid	Pass	Yes	'LINK' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	NADRZECZNA 17, 05-462 WIĄZOWNA	PL
ROHLIG SUUS Logistics S.A.	PL1230993241	Valid	Pass	Yes	'ROHLIG SUUS LOGISTICS SPÓŁKA AKCYJNA'	RÓWNOLEGŁA 4A, 02-235 WARSZAWA	PL
XPO LOGISTICS (NORBERT DENTRESSANGLE) UNITED KINGDOM	GB581379120	Valid	Pass	Yes	XPO HOLDINGS UK AND IRELAND LIMITED	DISTRIBUTION HOUSE ELDON WA, CRICK, NORTHAMPTON, NORTHAMPTONSHIRE, NN6 7SL, GB	GB
Pekaes Sp z. o.o.	PL5270104717	Valid	Pass	Yes	GEODIS ROAD NETWORK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SPEDYCYJNA 1, 05-870 BŁONIE	PL
IMPERIAL Logistics & Services GmbH	DE811168499	Valid	Pass	Yes	N/A	N/A	DE
pfenning logistics	DE812039737	Valid	Pass				
ARCESE TRASPORTI S.P.A.	IT122680226	Invalid					
ECS European Containers NV	BE0435131508	Valid	Pass	Yes	NV ECS EUROPEAN CONTAINERS	Baron de Maerelaan 155, 8380 Brugge	BE
DHL Freight France	FR38488985771	Valid	Pass				
Waberer's International Zrt.	HU17781578	Valid	Pass	Yes	Áfa csoport / VAT Group (Az áfa csoport tagjai lekérdezhetőek: / Members of the VAT group can be checked on: https://nav.gov.hu/adatbazisok/adatbleker/csoportos_afaalanyok)	NAGYKOROSI ÚT 351 1239 BUDAPEST	HU
SKAT TRANSPORT SP. Z O.O. SP. K.	PL5851356886	Valid	Pass	Yes	SKAT TRANSPORT PROSTA SPÓŁKA AKCYJNA	JULIUSZA SŁOWACKIEGO 199, 80-298 GDAŃSK	PL
P.H.U.S EXPORT-IMPORT "TRANSPIL-SPEDITION"	PL7670003116	Valid	Pass	Yes	WALDEMAR BOCHEŃSKI	SKÓRKA , BRZOZOWA 2, 77-430 KRAJENKA	PL
