Carrier	VAT
Unifeeder A/S	DK11810543
LKW Walter International AG	ATU19208701
dls Land u. See Speditionsges. mbH	DE811252507
Tricolore Transport & Logistics	DK33374283
T.E.L.S. Transeuropean Logistic Services Ltd. (TELS)	GB4303303
TRANSALLIANCE Group	FR66662013960
ATL CZ s.r.o.	CZ26006910
GEFCO Polska Sp. z o.o.	PL5252109503
AGROMEX Wojciech i Jacek Fraszka sp. j.	PL8310003586
2XL Nv	BE449424358
MIRATRANS TRANSPORT SP. Z O.O.	PL7322182068
Link Sp. z o.o.	PL5210086737
ROHLIG SUUS Logistics S.A.	PL1230993241
XPO LOGISTICS (NORBERT DENTRESSANGLE) UNITED KINGDOM	GB581379120
Pekaes Sp z. o.o.	PL5270104717
IMPERIAL Logistics & Services GmbH	DE811168499
pfenning logistics	DE812039737
ARCESE TRASPORTI S.P.A.	IT122680226
ECS European Containers NV	BE0435131508
DHL Freight France	FR38488985771
Waberer's International Zrt.	HU17781578
SKAT TRANSPORT SP. Z O.O. SP. K.	PL5851356886
P.H.U.S EXPORT-IMPORT "TRANSPIL-SPEDITION"	PL7670003116
MAGTRANS Sp. z o. o.	PL6551430917
CH Robinson FR-Caen	FR43322939265
REGESTA S.A.	PL6621004747
Gopet Trans EOOD	BG831689341
GEFCO	FR83542050315
Devnak Nakliyat	TR2940036980
Raben Trans European Germany GmbH	DE200207156
FIRMA TRANSPORTOWO SPEDYCYJNO HANDLOWA MIELCZAREK ANDRZEJ	PL8290001407
P.W. Podkowa Sp. z o.o.	PL5340001656
HILAL TRANS ULUSLARARASI TASIMACILIK ITH. IHR.TURIZM VE TİC. LTD.STİ	TR4630004323
Geodis United Kingdom Ltd	GB745967283
DELAMODE ROMANIA	RO6322498
CAT LC Portugal	PT506906612
CONEXTRANS  I.F.F.  S.A.  (A.G.)	EL095349047
Transport H. Essers & Zonen Nv	BE0401296720
GT-Trans Polska Sp. z o.o.	PL1181887288
Gartner Intertrans Hungária Kft.	HU10457812
DARTOM SP. Z O.O.	PL8380000966
HEMMERLIN SA	FR11399514611
FM Polska Sp. z o. o.	PL8381000827
Girteka Logistics Ltd	LT100005407518
EST Contracts BV - Istanbul branch	NL866889899B01
Frode laursen	DK29482713
Transforwarding International Sp. z o.o.	PL5342147482
CONTAINERSHIPS PLC	FI08183585
DHL Express Portugal Lda.	PT500731993
