TRANSPOREON ID	CreditorNumber	Carrier	OriginalVAT	VAT	VatStatus	Country	StoredAddress
242534	242534	Unifeeder A/S	DK0000000000	DK11810543	discovered	DK	Hveensgade 1, 8000, Aarhus
200003	200003	LKW Walter International AG	ATU19208701	ATU19208701	valid	AT	IZ NÖ SÜD STR. 14, 2355, Wiener Neudorf
239840	239840	Orkun Uluslararasi Nakliyat Ihracat ve Ticaret Limited Sirketi			missing	TR	Ulus Mahallesi Kültür Caddesi No: 125, HURRIYET MAHALLESI CATALCA YOLU CAD 464, 34537, ISTANBUL
221276	221276	dls Land u. See Speditionsges. mbH	DE 811 252 507	DE811252507	valid	DE	Jacobsrade 1, 22962, Siek
222443	222443	Tricolore Transport & Logistics	DK0000000000	DK33374283	discovered	DK	Thorsvej 8, 6330, Padborg
229603	229603	T.E.L.S. Transeuropean Logistic Services Ltd. (TELS)	4303303	GB4303303	valid	GB	Suite 4, 11 Rosemont Road, Hampstead, NW3 6NG, London
339973	238328	TRANSALLIANCE Group	FR0000000000	FR66662013960	discovered	FR	5 bis rue Saint Léon, 54000, NANCY
230387	ATL	ATL CZ s.r.o.		CZ26006910	discovered	CZ	Kladska 916, 500 03, Hradec Kralove
227867	227867	GEFCO Polska Sp. z o.o.		PL5252109503	discovered	PL	pl.Bankowy 2, 00-095, Warszawa
227301	227301	AGROMEX Wojciech i Jacek Fraszka sp. j.	PL8310003586	PL8310003586	valid	PL	Marzenin, Plac Rozany 3, 98160, Sedziejowice
228425	228425	2XL Nv	BE449424358	BE449424358	valid	BE	Baron de Maerelaan 155, 8380, Zeebrugge
227389	227389	MIRATRANS TRANSPORT SP. Z O.O.	PL7322182068	PL7322182068	valid	PL	Sierpów 33, 95-035, Ozorków
227348	227348	Link Sp. z o.o.	PL5210086737	PL5210086737	valid	PL	Nadrzeczna 17, 5462, Wiazowna
229892	Rohlig	ROHLIG SUUS Logistics S.A.	1230993241	PL1230993241	valid	PL	ul. Równoległa 4A, 02-235, Warszawa
239839	239797	XPO LOGISTICS (NORBERT DENTRESSANGLE) UNITED KINGDOM	UK0000000000	GB581379120	discovered	GB	Greenfold Way, Leigh Commerce Park, WN7 3XJ, Leigh
230536	690061	Pekaes Sp z. o.o.	PL5270104717	PL5270104717	valid	PL	ul. Spedycyjna 1, 05-870, Błonie
224437	224437	IMPERIAL Logistics & Services GmbH	DE 811 168499	DE811168499	valid	DE	Schifferstr. 26, 47059, Duisburg
233644	233644	pfenning logistics		DE812039737	discovered	DE	Daimlerstraße 4, 68542, Heddesheim
