TRANSPOREON ID	Carrier	Country	DiscoveredVAT	Source	Confidence	Notes
242534	Unifeeder A/S	DK	DK11810543	proff.dk / CVR registry	High	CVR 11810543 confirmed at Aarhus
239840	Orkun Uluslararasi Nakliyat Ihracat ve Ticaret Limited Sirketi	TR		web search	Not found	No Turkish vergi numarası found in public sources
222443	Tricolore Transport & Logistics	DK	DK33374283	proff.dk / CVR registry	High	CVR 33374283, Thorsvej 8 Padborg matches
339973	TRANSALLIANCE Group	FR	FR66662013960	societe.com	High	SIREN 662013960, secondary establishment at 5 B Rue Saint Léon, 54000 Nancy matches
230387	ATL CZ s.r.o.	CZ	CZ26006910	kurzy.cz / Czech business registry	High	IČO 26006910, registered in Hradec Králové
227867	GEFCO Polska Sp. z o.o.	PL	PL5252109503	KRS / krs-pobierz.pl	High	Now Ceva Ground Logistics Poland, ul. Poleczki 33 Warsaw
239839	XPO LOGISTICS (NORBERT DENTRESSANGLE) UNITED KINGDOM	GB	GB581379120	vat-lookup.co.uk / Companies House	Medium	XPO Transport Solutions UK Ltd (ex-Norbert Dentressangle Transport Services), registered in Northampton not Leigh
233644	pfenning logistics	DE	DE812039737	fumo-solutions.com	High	pfenning logistics GmbH GB Transport at Daimlerstraße 4, 68542 Heddesheim matches exactly
227703	DHL Freight France	FR	FR38488985771	societe.com	High	SIREN 488985771, 19 Bd Courcerin Lognes (Marne la Vallée) matches
NULL	GEFCO	FR	FR83542050315	societe.com / lefigaro.fr	Medium	GEFCO SA (now CEVA Logistics Europe), SIREN 542050315; Besancon branch not individually confirmed
228717	P.W. Podkowa Sp. z o.o.	PL	PL5340001656	biznesfinder.pl	High	al. Krakowska 51de, 05-551 Mroków matches
302772	Geodis United Kingdom Ltd	GB	GB745967283	vat-lookup.co.uk / companycheck.co.uk	High	Company 01912705, registered in High Wycombe
239887	MacAndrews GmbH	GB		Companies House / globaldatabase.com	Not found	MacAndrews & Company Limited (00334790) at 75 King William St; sources indicate no VAT registration
238494	GT-Trans Polska Sp. z o.o.	PL	PL1181887288	targeo.pl / KRS	High	KRS 0000276747, Przejazdowa 18 Pruszków matches
258468	EST Contracts BV - Istanbul branch	NL	NL866889899B01	transfirm.nl	Medium	KvK 94776245, founded 2024; registered address Trompenburgstraat 2-C differs from stored Teleportboulevard
230869	Frode laursen	DK	DK29482713	proff.dk / CVR registry	High	CVR 29482713, Vittenvej 88-90, 8382 Hinnerup matches
229592	Transforwarding International Sp. z o.o.	PL	PL5342147482	egospodarka.pl / transforwarding.pl	High	Na Skraju 73A, 05-090 Raszyn matches
230935	DHL Express Portugal Lda.	PT	PT500731993	nif.pt / iberinform.pt	High	NIF 500731993; registered office in Lisboa, Alcochete is operational site
231183	EST Contracts BV - Lyon branch	FR	NL866889899B01	transfirm.nl	Low	Same NL company as Istanbul branch; listed as FR but HQ is Amsterdam; no separate French TVA found
260712	GEFCO ITALIA SPA	IT	IT08983530158	coobiz.it / impresaitalia.info	High	Via Palizzi 89, 20157 Milano matches exactly
257414	Transportes Pascoal	PT	PT500514666	einforma.pt	High	NIF confirmed on Portuguese business registry
270235	H. Essers Transport Company Nederland BV	NL	NL002837110B01	transfirm.nl	High	KvK 17040185; registered address Bergen op Zoom, Valkenswaard may be branch
234810	Schenker Sp z o.o.	PL	PL5270103824	imsig.pl (KRS)	High	KRS 0000040104; HQ at ul. Żwirki i Wigury 16C, Warszawa
339773	Vesta Ukraine	UA	35322154	opendatabot.ua	High	EDRPOU code; non-EU country, no VAT prefix; ТОВ ВЄСТА УКРАЇНА
342148	DHL EXPRESS SP. Z O.O.	PL	PL5270022391	targeo.pl (KRS)	High	KRS 0000047237; ul. Osmańska matches area
308816	Ekol Logistics	TR	TR3300012602	ekol.dev (company website)	High	Mersis 330001260200018; non-EU, vergi kimlik no from official contact page
256443	ATC CARGO SA	PL	PL9581531010	krs-online.com.pl	High	KRS 0000303741; ul. Kielecka 2, 81-303 Gdynia matches
243850	Bei-Trans	UA	31526028	opendatabot.ua	High	EDRPOU code; non-EU country, no VAT prefix; ТОВ БЕЙ-ТРАНС, Lviv
265117	DHL Global Forwarding (Italy) S.p.A. – Div. Freight	IT	IT00754800159	companyreports.it	High	Via delle Industrie 1, Pozzuolo Martesana confirmed
229245	AMBROGIO TRASPORTI SPA	IT	IT00510420011	impresaitalia.info	High	Via Tognasca 5, 21013 Gallarate confirmed
234562	WITRANS Izak, Wenerski Sp. jawna	PL	PL5291580400	egospodarka.pl (KRS)	High	KRS 0000277691; ul. Płocka 2, 05-825 Grodzisk Mazowiecki confirmed
261972	Gefco Tasimacilik ve Lojistik A.S.	TR		multiple sources	Not found	Non-EU; vergi numarası not publicly available in search results
200019	Schenker Deutschland AG	DE	DE811228366	dbschenker.com (Impressum)	High	HRB 51435, Frankfurt; Dortmund is branch office
221780	Unterer GesmbH	AT	ATU32430107	firmenabc.at	High	FN 44434 w; Luna 32, 6250 Kundl confirmed
235220	STALKO Przybysz i Wspólnicy Spółka Jawna	PL	PL1250022090	krs-pobierz.pl (KRS)	High	KRS 0000048814; ul. Poniatowskiego 65, 05-220 Zielonka confirmed
247138	Codognotto Austria GmbH	AT	ATU64785511	codognotto.eu (legal terms)	High	FN 323946t; company deleted from register Feb 2026
235502	XPO LOGISTICS (NORBERT DENTRESSANGLE) HIGH CUBE	FR		multiple XPO entities	Not found	Multiple XPO legal entities in France; Soissons branch was Centrale des Franchises XPO (closed 2018); could not determine current entity
291017	Borusan Lojistik	TR		multiple sources	Not found	Non-EU; vergi numarası not publicly available in search results
302996	Geodis Logistics Netherlands B.V.	NL	NL003871678B01	transfirm.nl	High	KvK 12037189; Transportcentrum 24, 7547RX Enschede confirmed
240173	VLANTANA UAB	LT	LT633770418	tax.lt	High	Company code 163377040; Dvaro g. 1, Gobergiškės k., Klaipėdos r. confirmed
306335	Zammler Ukraine Ltd	UA	35007717	ua-region.com.ua (EDRPOU registry)	High	Non-EU; ЄДРПОУ code, ІПН 350077126587
260916	Alba-Zöchling	HU	HU10268526	nemzeticegtar.hu	High	Full adószám 10268526-4-07; matched Székesfehérvár address
306324	GEFCO PORTUGAL TRANSITÁRIOS LDA	PT	PT502719176	nif.pt	High	Address confirmed at Miraflores; NIPC 502719176
231033	GEFCO Magyarorszag Kft.	HU	HU13632142	tablazat.hu	High	Full adószám 13632142-2-43; now CEVA Ground Logistics Hungary
303710	WEC Lines	NL	NL007138015B01	transfirm.nl	High	KvK 24159567; address matched Albert Plesmanweg 59 Rotterdam
294768	LOGİTRANS LOJİSTİK VE TAŞIMACILIK ORG.LTD.ŞTİ	TR		Not found	Not found	Non-EU (Turkey); tax ID not discoverable via web search
242853	A.M.P. Wieczorek Sp. z o.o.	PL	PL8222212882	krs-pobierz.pl	High	KRS 0000265865; REGON 140775184
241368	SPEDPARTNER	PL	PL6621768189	monitorfirm.pb.pl	High	KRS 0000240517; address confirmed Leszcze 15, Pińczów
